Проект,Категории,Цена,Заявки
Заказ №764837,Прикладное ПО,$250,нет заявок
Определить на анимации нахождение объекта или парсинг. Двойная оплата,Веб-программирование,$150,6 заявок
Составить контекстные объявления,Контекстная реклама,$250,5 заявок
Заказ №764195,Дизайн сайтов,,47 заявок
Разработка интернет магазина на базе Prestashop под ключ.,Интернет-магазины,,3 заявки
Заказ №763677,Дизайн сайтов,$100,4 заявки
Разработка проекта под ключ. Только для команды из Украины,Сайты «под ключ»,$5000,20 заявок
Редизайн новостника,Дизайн сайтов,$50,1 заявка
Мастер Йода в сфере реверс инжиниринга (reverse engineering),Прикладное ПО,,2 заявки
Cобрать базу сайтов где может быть ЦА,Поисковые системы (SEO),,6 заявок
"Развитие групп вк, фб, инста, ок, твиттер. b2b Недвижимость.",Социальные сети (SMM/SMO),,9 заявок
Downloader для osx,Прикладное ПО,$1000,6 заявок
PHP программист,Веб-программирование,,33 заявки
Нужно написать большое количество текстов тех. и фин. направленности,Копирайтинг/Рерайтинг,$10,20 заявок
Заказ №762328,Прикладное ПО,$100,6 заявок
Доработка веб страницы использующей КриптоПро ЭЦП Browser plug-in,Веб-программирование,$300,3 заявки
"Интернет магазин, для теста",Интернет-магазины,,12 заявок
Приложение под iOS,ПО для мобильных устройств,,5 заявок
Разработка приложения под iOS,ПО для мобильных устройств,$2500,20 заявок
Заказ №744009,ПО для мобильных устройств,,22 заявки
Senior&Middle Drupal разработчик постоянная удаленная работа full-time,Веб-программирование,,6 заявок
Логотип для производителя снековой сырной продукции,Знаки/Логотипы,$100,36 заявок
Программист в Игровой проект на постоянную удаленную работу,Веб-программирование,$1500,7 заявок
Заказ №742840,Сайты «под ключ»,,43 заявки
Заказ №754561,Наполнение сайтов,,18 заявок
Оформление визуального интерфейса для несложной базы данных,Базы данных,,11 заявок
Парсер коэффициентов букмекерских контор,Веб-программирование,$1000,64 заявки
Написание коротких советов по тематике Google Adwords для adw.am,Контекстная реклама,$20,10 заявок
Заказ №760292,Копирайтинг/Рерайтинг,$60,15 заявок
Заказ №760329,Новости/Статьи/Обзоры,$30,20 заявок
Комплексное продвижение сайта (Игровая тематика: counter strike),Поисковые системы (SEO),,22 заявки
Рерайт на компьютерную/техническую тематику,Копирайтинг/Рерайтинг,,27 заявок
Доработать сайт на php (движок CakePHP),Веб-программирование,$600,14 заявок
Авторы учебных студенческих работ,Дипломы/Курсовые/Рефераты,$1000,157 заявок
Промо-ролик для системы,Видеомонтаж,,12 заявок
Создание плагина для WordPress,Веб-программирование,,нет заявок
Рерайт строительных новостей,Копирайтинг/Рерайтинг,$7,нет заявок
Авторегистратор аккаунтов tumblr,Веб-программирование,,нет заявок
Доработка сайта Opencart 1.5.4,Системы управления (CMS),,1 заявка
Доработать дизайн сайта + логотип,Дизайн сайтов,,2 заявки
Технический консультант,Управление проектами,,1 заявка
"Имеется логотип, необходимо его доделать.",Знаки/Логотипы,,исполнитель выбран
Аудит конкурентов и консультация,Поисковые системы (SEO),,1 заявка
Адаптивная верстка из Adobe Illustrator,HTML-верстка,,8 заявок
Интеграция API Fotolia в опенкарт,Системы управления (CMS),,нет заявок
Перевод текста,Переводы,,6 заявок
Автор поздравлений-четверостиший к бумажной свадьбе,Стихи/Проза,,1 заявка
HTML страница + JS/CSS,HTML-верстка,,1 заявка
Внести исправления на сайт,Системы управления (CMS),,2 заявки
Добавить объекты на фото,Фотография (обработка),,6 заявок
"Model, Company for option Opencart",Веб-программирование,,1 заявка
Макет маршрутного листа,Дизайн продукции,,1 заявка
Дизайнер для создания графического контента для соцсетей,Иллюстрации/Рисунки,,нет заявок
Продвижение сайта в казахстане,Поисковые системы (SEO),,3 заявки
Модуль для оптовой продажи в JoomShopping,Веб-программирование,,1 заявка
SIMPLA. Добавить второе поле для товара с ценой в другой валюте (USD),Интернет-магазины,,нет заявок
Верстка сайта,HTML-верстка,,11 заявок
Скопировать сайт joomla на muse,Веб-программирование,,нет заявок
"Навести порядок на сайте, разместить рекламные блоки adsens и директ.",Веб-программирование,,1 заявка
Google Recaptcha2,Веб-программирование,,нет заявок
Отправка тригерных писем.,Веб-программирование,,нет заявок
PHP - junior разработчик (Yii 1 и/или 2),Веб-программирование,,4 заявки
Поработать над дизайном сайта,Дизайн сайтов,,16 заявок
Разработать сайт,Сайты «под ключ»,,10 заявок
Корпоративный сайт.,Сайты «под ключ»,,11 заявок
Автор контрольной работы по Экономике предприятия,Переводы,,нет заявок
Помочь запустить исходный код программы на С++,Прикладное ПО,,1 заявка
Сайт,Сайты «под ключ»,,5 заявок
Сделать doodle видео,Видеомонтаж,,3 заявки
Визитка - сайт,Сайты «под ключ»,,14 заявок
Тз: доработать функционал,Базы данных,,нет заявок
Разместить статьи,Наполнение сайтов,,1 заявка
Тз: написать технический диплом,Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать курсовую (информационное обеспечение),Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать диплом (программирование),Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать курсовую (водоснабжение),Дипломы/Курсовые/Рефераты,,нет заявок
